run_id,command_group,command,task,status,exit_code,started_at,finished_at,duration_seconds,artifact_count,warning_count,error_count,result_path,latest_manifest_path
059583180026,affected,rig affected summary,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/059583180026.json,
321dc4e17bf6,affected,rig affected summary,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/321dc4e17bf6.json,
36472fdbaf80,affected,rig affected profiles,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/36472fdbaf80.json,
58d0477eae89,affected,rig affected summary,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/58d0477eae89.json,
686db8a167c0,affected,rig affected summary,td-cleanup-006,passed,0,,,0.0,5,0,0,.build/rig/results/686db8a167c0.json,
78b114d2aebf,affected,rig affected profiles,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/78b114d2aebf.json,
99bca28c26e5,affected,rig affected summary,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/99bca28c26e5.json,
c3835fe72ac1,affected,rig affected summary,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/c3835fe72ac1.json,
ff510ee16683,affected,rig affected profiles,td-cleanup-005,passed,0,,,0.0,5,0,0,.build/rig/results/ff510ee16683.json,
dcee2357d0a8,anigma_git_hygiene,/Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/user/Developer/GitHub/Anigma_clean/scripts/anigma_git_hygiene.py status,,passed,0,2026-05-05T18:08:58Z,2026-05-05T18:08:58Z,0.49,0,0,0,.build/rig/results/dcee2357d0a8.json,
0de7426a298e,docs,rig docs index-rig-results,,passed,0,2026-05-05T18:09:10.515695Z,2026-05-05T18:09:10.515720Z,0.095,10,0,0,.build/rig/results/0de7426a298e.json,
b501a90f036c,docs,rig docs index-rig-results,,passed,0,2026-05-05T18:09:30.346629Z,2026-05-05T18:09:30.346642Z,0.217,10,0,0,.build/rig/results/b501a90f036c.json,
c472909c0f5e,anigma_pipeline,/Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/user/Developer/GitHub/Anigma_clean/scripts/anigma_pipeline.py run --profile=local-fast --task=rig-agent-contract-hardening,,passed,0,2026-05-05T18:09:30Z,2026-05-05T18:09:33Z,3.194,0,0,0,.build/rig/results/c472909c0f5e.json,
