run_id,task,profile,step_id,command,status,exit_code,duration_seconds,known_blocker_id,stdout_log,stderr_log,result_path
20260505T082110Z-c3b790fc,git-hygiene-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.398,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082110Z-c3b790fc/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082110Z-c3b790fc/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082110Z-c3b790fc/step-results/task-brief-tests.json
20260505T082134Z-d2d578da,git-hygiene-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.313,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/step-results/atlas-check.json
20260505T082134Z-d2d578da,git-hygiene-bootstrap,local-fast,git-hygiene-status,python3 scripts/anigma_git_hygiene.py status,passed,0,0.992,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/git-hygiene-status.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/git-hygiene-status.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/step-results/git-hygiene-status.json
20260505T082134Z-d2d578da,git-hygiene-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,passed,0,0.1,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/step-results/py-compile.json
20260505T082134Z-d2d578da,git-hygiene-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.507,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082134Z-d2d578da/step-results/task-brief-tests.json
20260505T082225Z-a970de6e,git-hygiene-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.299,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/step-results/atlas-check.json
20260505T082225Z-a970de6e,git-hygiene-bootstrap,local-fast,git-hygiene-status,python3 scripts/anigma_git_hygiene.py status,passed,0,0.943,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/git-hygiene-status.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/git-hygiene-status.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/step-results/git-hygiene-status.json
20260505T082225Z-a970de6e,git-hygiene-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,passed,0,0.1,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/step-results/py-compile.json
20260505T082225Z-a970de6e,git-hygiene-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.488,,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/git-hygiene-bootstrap/20260505T082225Z-a970de6e/step-results/task-brief-tests.json
20260505T082916Z-846c7e93,review-bundle-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.252,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/step-results/atlas-check.json
20260505T082916Z-846c7e93,review-bundle-bootstrap,local-fast,git-hygiene-status,python3 scripts/anigma_git_hygiene.py status,passed,0,0.484,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/git-hygiene-status.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/git-hygiene-status.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/step-results/git-hygiene-status.json
